period,location_a,location_b,co_mentions
12.02.26 —- 17.02.26,Dhaka,Gazipur,24
12.02.26 —- 17.02.26,Chattogram,Dhaka,23
12.02.26 —- 17.02.26,Barishal,Dhaka,19
12.02.26 —- 17.02.26,Dhaka,Mymensingh,17
12.02.26 —- 17.02.26,Chattogram,Noakhali,15
12.02.26 —- 17.02.26,Dhaka,Rangpur,14
12.02.26 —- 17.02.26,Dhaka,Kishoreganj,11
12.02.26 —- 17.02.26,Barishal,Bhola,9
18.02.26 —--- 01.03.26,Chattogram,Dhaka,62
18.02.26 —--- 01.03.26,Dhaka,Gazipur,62
18.02.26 —--- 01.03.26,Chattogram,Noakhali,45
18.02.26 —--- 01.03.26,Barishal,Dhaka,42
18.02.26 —--- 01.03.26,Dhaka,Khulna,41
18.02.26 —--- 01.03.26,Dhaka,Mymensingh,37
18.02.26 —--- 01.03.26,Dhaka,Rangpur,30
18.02.26 —--- 01.03.26,Dhaka,Pabna,27
